step,iteration,pressure_l1_delta,pressure_l1_norm,relative_error,converged,block_low_frequency_fraction,block_size,block_count
1,100,1862.3170951371599,1862.3170951371599,1,0,0.97809590711593408,4,9216
1,200,1644.0239035654074,3484.9513367749719,0.47174945779495808,0,0.9973549845724049,4,9216
1,300,1501.0724159474648,4973.4547302222272,0.30181684510484985,0,0.99957915674697162,4,9216
1,400,1388.8935906875558,6359.1294398923565,0.21840939138220564,0,0.99985212072263119,4,9216
1,500,1294.6316765913145,7650.9683514190065,0.16921147979277712,0,0.99993732404698044,4,9216
1,600,1211.7588500403613,8859.4899237405298,0.13677523880841544,0,0.99997177254727232,4,9216
1,700,1136.4991718754031,9994.3319485843022,0.11371437107773755,0,0.99998273046616581,4,9216
1,800,1066.7663539058885,11060.424544430192,0.09644895181198905,0,0.99998479613490976,4,9216
1,900,1001.4445199424094,12061.255836332792,0.083029871311219722,0,0.99998508813636333,4,9216
1,1000,939.9379444739443,13000.702169612265,0.072299013715655114,0,0.99998459790167904,4,9216
2,100,2812.1523528772746,12981.418862314516,0.21662904361256263,0,0.94729131916554721,4,9216
2,200,1897.344518302798,13002.625710133176,0.14592010572327432,0,0.96892011810668555,4,9216
2,300,1419.9290050108316,13097.066044595353,0.10841580856170309,0,0.97402103012810637,4,9216
2,400,1122.1043256728708,13244.06376134637,0.08472507727936214,0,0.97910996393494554,4,9216
2,500,911.73639179265842,13410.978961441464,0.067984327946083167,0,0.98238849806978057,4,9216
2,600,752.45659793711593,13576.262506854287,0.055424429039820124,0,0.98389638835356874,4,9216
2,700,626.99809058872393,13726.543557773504,0.045677783919146016,0,0.98520236726464339,4,9216
2,800,526.10397044750061,13857.805459820376,0.037964450574291722,0,0.98574054604853334,4,9216
2,900,444.1630862812417,13972.835620651462,0.031787612646410945,0,0.98618547192554784,4,9216
2,1000,377.27692263206785,14071.742361566507,0.026810960074319348,0,0.98672494650652998,4,9216
3,100,1853.4065524562627,12751.423334332494,0.14534899390141565,0,0.89880854398844945,4,9216
3,200,1259.3806398131076,11913.485366872757,0.1057105121659028,0,0.95526262297842157,4,9216
3,300,1045.2341700710867,11198.047723266349,0.093340749736169487,0,0.96921850629584605,4,9216
3,400,911.48219192203726,10554.586047382823,0.086358876400278506,0,0.97727448984421583,4,9216
3,500,816.96333698359911,9970.6996804122045,0.081936409998242421,0,0.9829636040212022,4,9216
3,600,743.63199493361174,9443.1629731021603,0.078748190309938307,0,0.98647651079531595,4,9216
3,700,683.45276608895313,8968.0999596164402,0.076209316261700535,0,0.98943325322439568,4,9216
3,800,632.3365922578522,8540.5571699120374,0.074039266956205496,0,0.9911531387942133,4,9216
3,900,587.10935356138384,8156.7852559701196,0.071978032415609614,0,0.99262932964531281,4,9216
3,1000,546.35978520604442,7817.1830855531371,0.069892156704857891,0,0.99358564346628797,4,9216
4,100,1455.4886494186703,7070.4413333799175,0.20585541705115826,0,0.90306068577801291,4,9216
4,200,927.78396972008863,6540.9006292333297,0.14184345892269515,0,0.97986735976615402,4,9216
4,300,837.92135803794258,6071.4996767731027,0.13800896033042093,0,0.98806021657146181,4,9216
4,400,775.22122308883138,5702.5621279656116,0.13594261766778706,0,0.99174219332030988,4,9216
4,500,720.24579706869781,5532.951502038848,0.13017388581904127,0,0.99404463286274192,4,9216
4,600,670.87759958248523,5589.7514257088196,0.12001921883268955,0,0.99539945142487163,4,9216
4,700,626.05731644682896,5763.8657519043454,0.10861760897883223,0,0.99608444099818738,4,9216
4,800,585.01247380183315,5965.5157050991747,0.098065700053690086,0,0.99643551499575078,4,9216
4,900,547.2675307826712,6164.3381287680477,0.088779609319069502,0,0.99664097227108572,4,9216
4,1000,512.42310204297837,6359.9242004426851,0.080570630386964506,0,0.99672975863884161,4,9216
5,100,795.72900337954047,6360.9631418702884,0.12509567900837978,0,0.90513118377761359,4,9216
5,200,548.43303038384045,6480.9919499157568,0.084621773120852159,0,0.96319346811072781,4,9216
5,300,471.28704525324821,6624.5146088038337,0.071142879604630671,0,0.97205321566241409,4,9216
5,400,420.03551136242106,6776.961933626636,0.061979913046028054,0,0.97836249220901395,4,9216
5,500,380.8137059980769,6933.1965298007526,0.054926137512651872,0,0.98324584610584176,4,9216
5,600,349.03198410978268,7091.526258359464,0.04921817552298352,0,0.98651277170994089,4,9216
5,700,322.31673365583617,7251.1913455574568,0.04445017629459027,0,0.98882880685660202,4,9216
5,800,299.24637110162843,7411.9017045636629,0.04037376412012806,0,0.99065138741824843,4,9216
5,900,278.84964541190817,7573.2123234316377,0.036820523907555448,0,0.99184074392184507,4,9216
5,1000,260.54080194925103,7734.7196545945026,0.033684582452123801,0,0.99271009824160839,4,9216
