step,iteration,pressure_l1_delta,pressure_l1_norm,relative_error,converged
1,100,1862.3170951371596,1862.3170951371596,1,0
1,200,1644.0239035654072,3484.9513367749719,0.47174945779495803,0
1,300,1501.0724159474651,4973.4547302222254,0.30181684510485002,0
1,400,1388.8935906875561,6359.1294398923555,0.21840939138220572,0
1,500,1294.6316765913148,7650.9683514190074,0.16921147979277715,0
1,600,1211.7588500403619,8859.4899237405298,0.13677523880841552,0
1,700,1136.4991718754038,9994.3319485843022,0.11371437107773762,0
1,800,1066.7663539058885,11060.424544430194,0.096448951811989037,0
1,900,1001.4445199424099,12061.255836332788,0.083029871311219777,0
1,1000,939.93794447394475,13000.702169612276,0.072299013715655086,0
2,100,2812.1523528772759,12981.418862314509,0.21662904361256285,0
2,200,1897.3445183027982,13002.625710133176,0.14592010572327435,0
2,300,1419.9290050108314,13097.066044595351,0.10841580856170309,0
2,400,1122.1043256728708,13244.063761346379,0.084725077279362085,0
2,500,911.73639179265876,13410.978961441466,0.067984327946083195,0
2,600,752.45659793711604,13576.262506854287,0.055424429039820131,0
2,700,626.99809058872393,13726.543557773506,0.045677783919146009,0
2,800,526.10397044750084,13857.805459820382,0.037964450574291722,0
2,900,444.16308628124131,13972.835620651465,0.031787612646410904,0
2,1000,377.27692263206762,14071.742361566508,0.026810960074319327,0
3,100,1853.4065524562641,12751.423334332498,0.1453489939014157,0
3,200,1259.3806398131076,11913.485366872759,0.10571051216590278,0
3,300,1045.234170071087,11198.047723266354,0.093340749736169459,0
3,400,911.48219192203726,10554.586047382827,0.086358876400278478,0
3,500,816.96333698359933,9970.6996804122045,0.081936409998242449,0
3,600,743.63199493361219,9443.162973102164,0.078748190309938321,0
3,700,683.45276608895301,8968.099959616442,0.076209316261700508,0
3,800,632.33659225785266,8540.5571699120392,0.074039266956205524,0
3,900,587.1093535613835,8156.7852559701178,0.071978032415609586,0
3,1000,546.35978520604431,7817.1830855531416,0.069892156704857836,0
